商品名,规格,物料号,天猫是否上架,天猫平台ID
碳钢送丝组件,BK Fe D0.8 /G/W/5m ,44.0350.5117,否,
碳钢送丝组件,BK Fe D0.9 /G/W/5m ,44.0350.5118,否,
碳钢送丝组件,BK Fe 1.0 /G/W/5m,02*44.0350.5119,否,
碳钢送丝组件,BK Fe ?1.2 G/W/5m MTG/MTW Fe,02*44.0350.5120,否,
碳钢送丝组件,BK Fe D1.4 /G/W/5m ,44.0350.5121,否,
碳钢送丝组件,BK Fe D1.6 /G/W/5m ,44.0350.5122,否,
不锈钢送丝组件,BK CrNi D0.8 /G/W/5m ,44.0350.5158,否,
不锈钢送丝组件,BK CrNi D0.9 /G/W/5m ,44.0350.5159,否,
不锈钢送丝组件,BK CrNi 1.0 /G/W/5m,02*44.0350.5160,否,
不锈钢送丝组件,BK CrNi D1.2 /G/W/5m ,44.0350.5161,否,
不锈钢送丝组件,BK CrNi D1.4 /G/W/5m ,44.0350.5162,否,
不锈钢送丝组件,BK CrNi D1.6 /G/W/5m ,44.0350.5163,否,
气冷焊铝 & CUSI4钎焊,BK Al D0.8 /G CuSi D0.8 G/W/5m ,44.0350.5144,否,
气冷焊铝 & CUSI5钎焊,BK Al D0.9 /G CuSi D0.9 G/W/5m ,44.0350.5145,否,
气冷焊铝 & CUSI6钎焊,BK Al D1.0 /G CuSi D1.0 G/W/5m ,44.0350.5146,否,
气冷焊铝 & CUSI7钎焊,BK Al ?1.2 /G CuSi ?1.2 G/W/5m,02*44.0350.5147,否,
气冷焊铝 & CUSI8钎焊,BK Al D1.4 /G CuSi D1.4 G/W/5m ,44.0350.5148,否,
气冷焊铝 & CUSI9钎焊,BK Al D1.6 /G CuSi D1.6 G/W/5m ,44.0350.5149,否,
水冷焊铝送丝组件,BK Al D0.8 /W/5m ,44.0350.5135,否,
水冷焊铝送丝组件,BK Al D0.9 /W/5m ,44.0350.5136,否,
水冷焊铝送丝组件,BK Al ?1.0 /W/5m,02*44.0350.5137,否,
水冷焊铝送丝组件,BK Al ?1.2 W/5m MTW,02*44.0350.5138,否,
水冷焊铝送丝组件,BK Al D1.4 /W/5m ,44.0350.5139,否,
水冷焊铝送丝组件,BK Al D1.6 /W/5m ,02*44.0350.5140,否,
水冷焊铝送丝组件,BK Al D2.0 /W/5m ,44.0350.5141,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 250i G ML/15 /L183/H22 ,44.0350.3147,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 250i G ML/30 /L174/H47 ,44.0350.3148,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 250i G ML/45 /L158/H73 ,44.0350.3149,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 320i G ML/15 /L190/H22 ,44.0350.3151,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 320i G ML/30 /L181/H48 ,44.0350.3152,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 320i G ML/45 /L165/H75 ,44.0350.3153,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 400i G ML/15 /L227/H27 ,44.0350.3155,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 400i G ML/30 /L216/H57 ,44.0350.3156,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 400i G ML/45 /L197/H88 ,44.0350.3157,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 200i G ML/L268/flex ,44.0350.3786,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 360i G ML/309/flex ,44.0350.3785,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 3600S G ML/55 /L190/SSFCW ,44.0350.3820,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 3600S G ML/55 L278/SSFCW ,44.0350.3821,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 250i W ML /15 /L175/H22 ,44.0350.3163,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 250i W ML /30 /L166/H47 ,44.0350.3164,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 250i W ML /45 /L151/H72 ,44.0350.3165,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 400i W ML/15 /L194/H23 ,44.0350.3167,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 400i W ML/30 /L185/H49 ,44.0350.3168,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 400i W ML/45 /L168/H77 ,44.0350.3169,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 500i W ML/15 /L209/H27 ,44.0350.3171,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 500i W ML/30 /L199/H56 ,44.0350.3172,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 500i W ML/45 /L180/H87 ,44.0350.3173,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 700i W ML/15 /L220/H26 ,44.0350.3175,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 700i W ML/30 /L209/H55 ,44.0350.3176,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 700i W ML/45 /L191/H85 ,44.0350.3177,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 330i W ML/L272/flex ,44.0350.3799,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 400i W ML/L291/flex ,44.0350.3800,否,
气冷枪配件盒,Wear part kit MTG250i D0.8 ,44.0350.5151,否,
气冷枪配件盒,Wear part kit MTG250i D0.9 ,44.0350.5152,否,
气冷枪配件盒,Wear part kit MTG250i D1.0 ,44.0350.5153,否,
气冷枪配件盒,Wear part kit MTG250i D1.2 ,44.0350.5154,否,
气冷枪配件盒,Wear part kit MTG250i D1.4 ,44.0350.5155,否,
气冷枪配件盒,Wear part kit MTG250i D1.6 ,44.0350.5156,否,
气冷枪配件盒,Wear part kit MTG320i D0.8 ,44.0350.5185,否,
气冷枪配件盒,Wear part kit MTG320i D0.9 ,44.0350.5186,否,
气冷枪配件盒,Wear part kit MTG320i D1.0 ,44.0350.5187,否,
气冷枪配件盒,Wear part kit MTG 320i ?1.2,02*44.0350.5188,否,
气冷枪配件盒,Wear part kit MTG320i D1.4 ,44.0350.5189,否,
气冷枪配件盒,Wear part kit MTG320i D1.6 ,44.0350.5190,否,
气冷枪配件盒,Wear part kit MTG400i D0.8 ,44.0350.5167,否,
气冷枪配件盒,Wear part kit MTG400i D0.9 ,44.0350.5168,否,
气冷枪配件盒,Wear part kit MTG400i ?1.0,02*44.0350.5169,否,
气冷枪配件盒,Wear part kit MTG400i ?1.2,02*44.0350.5170,否,
气冷枪配件盒,Wear part kit MTG400i D1.4 ,44.0350.5171,否,
气冷枪配件盒,Wear part kit MTG400i ?1.6,02*44.0350.5172,否,
水冷枪配件盒,Wear part kit MTW250i D0.8 ,44.0350.5191,否,
水冷枪配件盒,Wear part kit MTW250i D0.9 ,44.0350.5192,否,
水冷枪配件盒,Wear part kit MTW250i D1.0 ,44.0350.5193,否,
水冷枪配件盒,Wear part kit MTW250i D1.2 ,44.0350.5194,否,
水冷枪配件盒,Wear part kit MTW400i D0.8 ,44.0350.5179,否,
水冷枪配件盒,Wear part kit MTW400i D0.9 ,44.0350.5180,否,
水冷枪配件盒,Wear part kit MTW400i ?1.0,02*44.0350.5181,否,
水冷枪配件盒,Wear part kit MTW400i ?1.2,02*44.0350.5182,否,
水冷枪配件盒,Wear part kit MTW400i D1.4 ,44.0350.5183,否,
水冷枪配件盒,Wear part kit MTW400i D1.6,02*44.0350.5184,否,
水冷枪配件盒,Wear part kit MTW500i ?0.8,02*44.0350.5173,否,
水冷枪配件盒,Wear part kit MTW500i D0.9,44.0350.5174,否,
水冷枪配件盒,Wear part kit MTW500i ?1.0,02*44.0350.5175,否,
水冷枪配件盒,Wear parts kit MTW500i ?1.2,02*44.0350.5176,否,
水冷枪配件盒,Wear part kit MTW500i D1.4 ,44.0350.5177,否,
水冷枪配件盒,Wear part kit MTW500i ?1.6,02*44.0350.5178,否,
水冷枪配件盒,Wear part kit MTW700i D1.0 ,44.0350.5199,否,
水冷枪配件盒,Wear part kit MTW700i D1.2 ,44.0350.5200,否,
水冷枪配件盒,Wear part kit MTW700i D1.4 ,44.0350.5201,否,
水冷枪配件盒,Wear part kit MTW700i D1.6 ,44.0350.5202,否,
钢送丝管,Bare steel inner liner 0.8 / 5m ID1.4x1.5mm,40.0002.0040.005,否,
钢送丝管,Bare steel inner liner 0.8 / 50m ID1.4x1.5mm,40.0002.0040.050,否,
钢送丝管,Bare steel inner liner 1.0 / 5m ID1.6x1.6mm,40.0002.0041.005,否,
钢送丝管,Bare steel inner liner 1.0 / 50m ID1.6x1.6mm,40.0002.0041.050,否,
钢送丝管,Bare steel inner liner 1.2 / 5m ID1.9x1.5mm,40.0002.0042.005,否,
钢送丝管,Bare steel inner liner 1.2 / 50m ID1.9x1.5mm,40.0002.0042.050,否,
钢送丝管,Bare steel inner liner 1.6 / 5m ID2.5x1.2mm,40.0002.0043.005,否,
钢送丝管,Bare steel inner liner 1.6 / 50m ID2.5x1.2mm,40.0002.0043.050,否,
不锈钢送丝管,CrNi-bare inner liner 0.8 / 5m ID1.4x1.5mm,40.0002.0044.005,否,
不锈钢送丝管,CrNi-bare inner liner 0.8 / 50m ID1.4x1.5mm,40.0002.0044.050,否,
不锈钢送丝管,CrNi-bare inner liner 1.0 / 5m ID1.6x1.6mm,40.0002.0045.005,否,
不锈钢送丝管,CrNi-bare inner liner 1.0 / 50m ID1.6x1.6mm,40.0002.0045.050,否,
不锈钢送丝管,CrNi-bare inner liner 1.2 / 5m ID1.9x1.5mm,40.0002.0046.005,否,
不锈钢送丝管,CrNi-bare inner liner 1.2 / 50m ID1.9x1.5mm,40.0002.0046.050,否,
不锈钢送丝管,CrNi-bare inner liner 1.6 / 5m ID2.5x1.2mm,40.0002.0047.005,否,
不锈钢送丝管,CrNi-bare inner liner 1.6 / 50m ID2.5x1.2mm,40.0002.0047.050,否,
水冷铝送丝管,Combi inner liner W Al / 0.8 / 3.8m ID1.2 / AD4.7,44.0350.3392,否,
水冷铝送丝管,Combi inner liner W Al / 0.8 / 4.8m ID1.2 / AD4.7,44.0350.3396,否,
水冷铝送丝管,Combi inner liner W Al / 1.0 / 3.8m ID1.5 / AD4.7,44.0350.3393,否,
水冷铝送丝管,Combi inner liner W Al / 1.0 / 4.8m ID1.5 / AD4.7,44.0350.3397,否,
水冷铝送丝管,Combi liner W Al /1.2/3.8m,02*44.0350.3394,否,
水冷铝送丝管,Combi inner liner W Al / 1.2 / 4.8m ID1.8 / AD4.7,44.0350.3398,否,
水冷铝送丝管,Combi inner liner W Al / 1.6 / 3.8m ID2.4 / AD4.7,44.0350.3395,否,
水冷铝送丝管,Combi inner liner W Al / 1.6 / 4.8m ID2.4 / AD4.7,44.0350.3399,否,
水冷铝送丝管,Combi inner liner W Al / 2.0 / 3.8m ID3.0 / AD4.7,44.0350.3616,否,
水冷铝送丝管,Combi inner liner W Al / 2.0 / 4.8m ID3.0 / AD4.7,44.0350.3617,否,
气冷铝送丝管,Combi inner liner G Al / 0.8 / 3.8m CuSi G / W  / ID1.2 / AD4.7,44.0350.3404,否,
气冷铝送丝管,Combi inner liner G Al / 0.8 / 4.8m CuSi G / W  / ID1.2 / AD4.7,44.0350.3408,否,
气冷铝送丝管,Combi inner liner G Al / 1.0 / 3.8m CuSi G / W  / ID1.5 / AD4.7,44.0350.3405,否,
气冷铝送丝管,Combi inner liner G Al / 1.0 / 4.8m CuSi G / W  / ID1.5 / AD4.7,44.0350.3409,否,
气冷铝送丝管,Combi liner G Al 1.2/3.8m,02*44.0350.3406,否,
气冷铝送丝管,Combi inner liner G Al/1.2/4.8m CuSi G/W/ID1.8/AD4.7,02*44.0350.3410,否,
气冷铝送丝管,Combi liner G Al /1.6/3.8m,02*44.0350.3407,否,
气冷铝送丝管,Combi inner liner G Al / 1.6 / 4.8m CuSi G / W  / ID2.4 / AD4.7,44.0350.3411,否,
送丝管固定夹,Clamping piece 0.8 Al / CuSi ,44.0350.3314.5,否,
送丝管固定夹,Clamping piece 0.8 Fe / CrNi ,44.0350.3315.5,否,
送丝管固定夹,Clamping piece 0.9 / 1.0 ,44.0350.3317.5,否,
送丝管固定夹,Clamping piece 1.2 ,44.0350.3318.5,否,
送丝管固定夹,Clamping piece 1.4 / 1.6 ,44.0350.3320.5,否,
送丝管固定夹,Clamping piece 2.0 Al ,44.0350.3321.5,否,
送丝管固定夹,Clamping piece 2.4 ,44.0350.3322.5,否,
送丝管固定夹,Clamping piece 2.8 SSFCW ,42.0001.4589.5,否,
气冷焊枪导电咀座,Nozzle stock M6 / SW9x31（MTB 250i G R）,42.0001.3988,否,
气冷焊枪导电咀座,Nozzle stock M8x1.5 / SW11x32.5（MTB 320i G R）,42.0001.3987,否,
气冷焊枪导电咀座,Nozzle stock M8x1.5 / SW11x44.5（MTB 400i G R）,42.0001.3975,否,
水冷焊枪导电咀座,Nozzle stock M6 / SW10x28.5（MTB 250i W R）,42.0001.3999,否,
水冷焊枪导电咀座,Nozzle stock M6 / SW10x20（MTB 330i W R）,42.0001.4479,否,
水冷焊枪导电咀座,Nozzle stock M8x1.5 / SW13x26.5（MTB 400i/500i W R）,42.0001.4037,否,
分流器,Spatter guard D9.2 / D17.2x17 ,42.0100.0552.5,否,
分流器,Spatter guard D8.3 / D18x12.5 5 ,42.0100.0583.5,否,
分流器,Spatter guard D11.2/D20.2x22 ,42.0100.0575.5,否,
分流器,Spatter guard D10 / D20.8x24mm ,42.0405.0854.5,否,
分流器,Spatter guard D9.2 / D17.2x17 HD ,42.0100.0531.5,否,
分流器,Spatter guard D11.2 / D20.2x22 HD Ceramic,42.0100.0532.5,否,
分流器,Spatter guard D8.4 / D17.8x13 HD ,42.0100.0576.5,否,
喷嘴MTB250iGR /MTB 250iWR,Gas nozzle cylindrical D18 / D22x58 CT M20x2 ,42.0001.4055.5,否,
喷嘴MTB250iGR /MTB 251iWR,Gas nozzle D13 / D22x56 CT M20x2 ,42.0001.4477.5,否,
喷嘴MTB250iGR /MTB 252iWR,Gas nozzle D13 / D22x58 CT M20x2 ,42.0001.4065.5,否,
喷嘴MTB250iGR /MTB 253iWR,Gas nozzle D10 / D22x58 CT M20x2 ,42.0001.4084.5,否,
喷嘴MTB250iGR /MTB 254iWR,Gas nozzle D10 / D22x54 CT M20x2 ,42.0001.4083.5,否,
喷嘴MTB250iGR /MTB 255iWR,Gas nozzle D15 / D22x58 CT M20x2 ,42.0001.4493.5,否,
喷嘴MTB250iGR /MTB 256iWR,Gas nozzle D13 / D22x56 CT/C M20x2 ,42.0001.4498.5,否,
喷嘴MTB 330i W R,Gas nozzle D13 / D25x41 CT M23x2,42.0001.4487.5,否,
喷嘴MTB 331i W R,Gas nozzle D13 / D25x37 CT M23x2,42.0001.4533.5,否,
喷嘴MTB 332i W R,Gas nozzle D13 / D25x39.5 CT/C M23x2,42.0001.4534.5,否,
喷嘴MTB 333i W R,Gas nozzle D13 / D25x41 CT/H M23x2 ,42.0001.4486.5,否,
喷嘴MTB 334i W R,Gas nozzle narrow D13 / D25x56 CT M23x2,42.0001.4745.5,否,
喷嘴MTG 320i/MTW 320i/MTW 500i,Gas nozzle cylindrical D21.1 / D25x63 CT M23x2,42.0001.4054.5,否,
喷嘴MTG 320i/MTW 320i/MTW 501i,Gas nozzle D17 / D25x61 CT M23x2 ,42.0001.4476.5,否,
喷嘴MTG 320i/MTW 320i/MTW 502i,Gas nozzle D17 / D25x63 CT M23x2,42.0001.4050.5,否,
喷嘴MTG 320i/MTW 320i/MTW 503i,Gas nozzle D17 / D27x63 CT HD heavy duty ,42.0001.4216.5,否,
喷嘴MTG 320i/MTW 320i/MTW 504i,Gas nozzle D17 / D25x68 CT M23x2 ,42.0001.4049.5,否,
喷嘴MTG 320i/MTW 320i/MTW 505i,Gas nozzle D17 / D25x61 CT/C M23x2,42.0001.4494.5,否,
喷嘴MTG 320i/MTW 320i/MTW 506i,Gas nozzle D15 / D25x59 CT M23x2 ,42.0001.4048.5,否,
喷嘴MTG 320i/MTW 320i/MTW 507i,Gas nozzle D15 / D25x61 CT M23x2 ,42.0001.4474.5,否,
喷嘴MTG 320i/MTW 320i/MTW 508i,Gas nozzle D15 / D25x63 CT M23x2 ,42.0001.4051.5,否,
喷嘴MTG 320i/MTW 320i/MTW 509i,Gas nozzle D15 / D25x68 CT M23x2 ,42.0001.4052.5,否,
喷嘴MTG 320i/MTW 320i/MTW 510i,Gas nozzle D15 / D25x61 CT/C M23x2,42.0001.4496.5,否,
喷嘴MTG 320i/MTW 320i/MTW 511i,Gas nozzle D13 / D25x59 CT M23x2 ,42.0001.4085.5,否,
喷嘴MTG 320i/MTW 320i/MTW 512i,Gas nozzle D13 / D25x61 CT M23x2 ,42.0001.4086.5,否,
喷嘴MTG 320i/MTW 320i/MTW 513i,Gas nozzle D13 / D25x63 CT M23x2 ,42.0001.4080.5,否,
喷嘴MTG 320i/MTW 320i/MTW 514i,Gas nozzle D13 / D25x61 CT/C M23x2,42.0001.4497.5,否,
喷嘴MTG 320i/MTW 320i/MTW 515i,Gas nozzle cylindrical D21.1 / D25x75 CT M23x2,42.0001.4053.5,否,
喷嘴MTG 320i/MTW 320i/MTW 516i,Gas nozzle D17 / D25x68 CT M23x2 ,42.0001.4049.5,否,
喷嘴MTG 320i/MTW 320i/MTW 517i,Gas nozzle D17 / D25x75 CT M23x2 ,42.0001.4043.5,否,
喷嘴MTG 320i/MTW 320i/MTW 518i,Gas nozzle D15 / D25x68 CT M23x2 ,42.0001.4052.5,否,
喷嘴MTG 320i/MTW 320i/MTW 519i,Gas nozzle D15 / D25x73 CT M23x2 ,42.0001.4475.5,否,
喷嘴MTG 320i/MTW 320i/MTW 520i,Gas nozzle D15 / D25x75 CT M23x2 ,42.0001.4045.5,否,
喷嘴MTG 320i/MTW 320i/MTW 521i,Gas nozzle D15 / D25x80 CT M23x2 ,42.0001.4047.5,否,
喷嘴MTG 320i/MTW 320i/MTW 522i,Gas nozzle D15 / D25x73 CT/C M23x2,42.0001.4495.5,否,
喷嘴MTG 320i/MTW 320i/MTW 523i,Spatter guard D11.2/D20.2x22 ,42.0001.4087.5,否,
喷嘴MTG 320i/MTW 320i/MTW 524i,Spatter guard D10 / D20.8x24mm ,42.0001.4088.5,否,
绝缘环,Insulation ring D17.5 / D11.1x7 mm ,42.0100.1428.5,否,
绝缘环,Insulation ring D20.5 / D12.15x8mm ,42.0100.1429.5,否,
绝缘环,Insulation ring D17.8 / 14x10.8 ,42.0100.1320.5,否,
绝缘环,Insulation ring D18.2 / D10.2x2.9mm ,42.0100.1407.5,否,
绝缘环,Insulation ring W D20.8 / 14x7.3 ,42.0100.1329.5,否,
绝缘环,Insulation ring D17.5 / D10.15x7mm HD ,42.0100.0529.5,否,
绝缘环,Insulation ring D20.5 / D12.15x8mm HD ,42.0100.0530.5,否,
导电咀M6 for MTG 250i / MTW 251i,Contact tip 0.8 / M6 / D8x24 ,42.0001.4461.10,否,
导电咀M6 for MTG 250i / MTW 252i,Contact tip 0.9 / M6 / D8x24 ,42.0001.4462.10,否,
导电咀M6 for MTG 250i / MTW 253i,Contact tip 1.0 / M6 / D8x24 ,42.0001.4463.10,否,
导电咀M6 for MTG 250i / MTW 254i,Contact tip 1.2 / M6 / D8x24 ,42.0001.4464.10,否,
导电咀M6 for MTG 250i / MTW 255i,Contact tip 1.4 / M6 / D8x24 ,42.0001.4465.10,否,
导电咀M6 for MTG 250i / MTW 256i,Contact tip 1.6 / M6 / D8x24 ,42.0001.4466.10,否,
M8 for MTG 320i / MTG 400i / MTW 320i / MTW 500i /MTW 701,Contact tip 0.8 / M8x1.5 / D10x32 ,42.0001.6464.10,否,
M8 for MTG 320i / MTG 400i / MTW 320i / MTW 500i /MTW 702,Contact tip 0.9 / M8x1.5 / D10x32 ,42.0001.6465.10,否,
M8 for MTG 320i / MTG 400i / MTW 320i / MTW 500i /MTW 703,Contact tip 1.0 / M8x1.5 / D10x32 ,42.0001.6466.10,否,
M8 for MTG 320i / MTG 400i / MTW 320i / MTW 500i /MTW 704,Contact tip 1.2 / M8x1.5 / D10x32 ,42.0001.6467.10,否,
M8 for MTG 320i / MTG 400i / MTW 320i / MTW 500i /MTW 705,Contact tip 1.4 / M8x1.5 / D10x32 ,42.0001.6468.10,否,
M8 for MTG 320i / MTG 400i / MTW 320i / MTW 500i /MTW 706,Contact tip 1.6 / M8x1.5 / D10x32 ,42.0001.6469.10,否,
M8 for MTG 320i / MTG 400i / MTW 320i / MTW 500i /MTW 707,Contact tip 1.8 / M8x1.5 / D10x32 ,42.0001.6470.10,否,
M8 for MTG 320i / MTG 400i / MTW 320i / MTW 500i /MTW 708,Contact tip 2.0 / M8x1.5 / D10x32 ,42.0001.6471.10,否,
M8 for MTG 320i / MTG 400i / MTW 320i / MTW 500i /MTW 709,Contact tip 2.4 / M8x1.5 / D10x32 ,42.0001.6472.10,否,
M8 for MTG 320i / MTG 400i / MTW 320i / MTW 500i /MTW 710,Contact tip 2.8 / M8x1.5 / D10x32 ,42.0001.4642.10,否,
导电咀M8焊铝,Contact tip 1.0 / M8x1.5 / D10x32 Al ,42.0001.4750.10,否,
导电咀M8焊铝,Contact tip 1.2 / M8x1.5 / D10x32 Al ,42.0001.4751.10,否,
导电咀M8焊铝,Contact tip 1.6 / M8x1.5 / D10x32 Al ,42.0001.4752.10,否,
TPS600I机器人地线,GroundCable 95i R PC/4m,02*43.0004.4982,是,798720749976
TPS600I机器人地线,GroundCable 95i R PC/10m,02*43.0004.4983,是,798720749976
TPS600I机器人地线,GroundCable 95i R PC/15m,02*43.0004.4983-15m,是,798720749976
TPS600I机器人地线,GroundCable 95i CL/PC/30m cable lug / PC male,02*43.0004.4983-30M,是,798720749976
地线配件,Current plug 50-70mm?/600A,02*43.0003.0019,否,
地线配件,Cable coupling M,02*43.0003.0062,否,
地线配件,Cable coupling 50- 70mm?,02*43.0003.0064,否,
地线配件,Current plug,02*43.0003.0065,否,
气表,Pressure regulator Ar/CO2 Standard 3-30;l/min;   氩气表,02*42.0510.0011,否,
气表,198C-25L-220V  二氧化碳气表（带加热功能）,GENT0011,否,
气表,捷锐152IN-125气体减压阀（压力表.可调节输出压力）,GENT0002,否,
气表,捷锐195A-25L氩气减压器,GENT0005,否,
气表,Pressure regulator Ar/CO2 Standard 200/32L G5/8in气表,42.0510.0189,否,
遥控器（选配）,,,否,
遥控器（选配）,I-kit mounting RCU 5000i  安装座,4.100.433,否,
遥控器（选配）,I-kit mounting RCU 5000i安装固定座,02*4.100.433,否,
遥控器（选配）,OPT/i TPS SpeedNet connector /IK for 4.100.886,4.100.910.CK,否,
遥控器（选配）,TPS/i Key Card  IC卡,4.044.032,否,
遥控器（选配）,TPS/i Key Fob   钥匙卡,4.044.031,否,
